Bi,La,Sr,Ca,Ti,Mg,Mn,Zr,Hf,T,thick,A_site_Molar_volume,A_site_Ionization_energy,A_site_Electron_affinity,A_site_Row,A_site_Atomic_mass,A_site_Number,A_site_Ionic_radii,A_site_Bond_length,A_site_Atomic_radius,A_site_Van_der_Waals_radius,A_site_X,B_site_Molar_volume,B_site_Ionization_energy,B_site_Electron_affinity,B_site_Row,B_site_Atomic_mass,B_site_Number,B_site_Ionic_radii,B_site_Bond_length,B_site_Atomic_radius,B_site_Van_der_Waals_radius,B_site_X,Entropy,Tolerance_factor,Octahedral_factor
0.92165226,0.001290499,0.07704081,1.64E-05,0.43853247,0.43571883,0.055412296,0.000145307,0.070191026,833.9441924,184.8000629,3.345310955,1.691199694,-0.036465341,0.861639003,9.583088219,4.45105476,0.291434599,0.547766411,0.35540871,0.467741646,0.32983421,0.450894992,0.297319923,-0.005417506,0.214507292,5.195298321,2.148291189,0.041207519,0.084814823,0.06219951,0.09014841,0.059110217,1.269191448,0.843086064,0.03270438
0.93997777,0.001184013,0.05881915,1.90E-05,0.4157774,0.40898085,0.09171087,0.00033941,0.08319149,848.8781585,202.0645948,3.036605806,1.575306375,-0.034324777,0.796055976,8.749197956,4.072595182,0.270975993,0.509989371,0.328308034,0.43283269,0.307989826,0.598975681,0.41727384,-0.01090956,0.289229823,6.639409083,2.765378471,0.057566169,0.120752202,0.085956037,0.124760396,0.083584067,1.326094888,0.821638815,0.045687436
0.93055594,0.000402764,0.069022946,1.83E-05,0.45712796,0.4565997,0.044888802,0.000232611,0.041150983,844.8974071,237.6630104,3.399838634,1.751445449,-0.038410986,0.885874679,9.756880547,4.539812175,0.301177453,0.566365369,0.365739364,0.481591699,0.341928181,0.295421036,0.205368856,-0.005304545,0.142541386,3.277453885,1.364798417,0.0283351,0.059398697,0.042329631,0.061435819,0.041127764,1.173059976,0.856857167,0.022488175
0.9283559,0.000340452,0.0712863,1.74E-05,0.4957888,0.49854887,0.005428302,6.52E-06,0.000227518,840.0224008,223.8645099,3.668697466,1.900850031,-0.042056035,0.958825726,10.52398892,4.899791851,0.326552834,0.614061795,0.396132885,0.521536747,0.371088289,0.014349082,0.013983423,-0.000926459,0.007703635,0.11314153,0.050783189,0.001884867,0.004337317,0.002654126,0.003883306,0.002906103,0.913627261,0.889036946,0.001495926
0.88725394,0.003672844,0.10905757,1.56E-05,0.48987746,0.4924792,0.017430568,6.56E-06,0.000206188,836.6775324,158.1276561,3.952207204,1.93292958,-0.041038724,0.995574468,11.24373067,5.207888773,0.333919843,0.626567689,0.410672637,0.539304987,0.375794844,0.043659278,0.043676761,-0.003008112,0.023664069,0.331667472,0.150290735,0.005878738,0.013606368,0.008244186,0.012069032,0.009098051,1.012646392,0.890347152,0.004665665
0.9049745,0.005450353,0.08955653,1.85E-05,0.48721415,0.5097902,0.002416548,9.48E-06,0.000569617,834.8115397,218.6491792,3.840263794,1.933714659,-0.043160497,0.981520981,10.88990397,5.059928054,0.332271334,0.62325448,0.406482876,0.53324936,0.375808044,0.008516743,0.007305099,-0.000383688,0.004377103,0.078432145,0.033935147,0.000992411,0.00221402,0.001426924,0.002081772,0.001499588,0.929023442,0.892872826,0.000787627
0.90398324,0.038037486,0.05794874,3.06E-05,0.4940763,0.50202394,0.00267767,1.06E-05,0.001211513,848.2855752,273.8315967,3.563222194,1.885600801,-0.042626788,0.943060773,10.23258421,4.774157467,0.323080553,0.607761607,0.39017382,0.513841361,0.36840269,0.012037238,0.009414881,-0.000390692,0.006010859,0.121437533,0.051531081,0.001287308,0.002799563,0.001880986,0.002738152,0.001913135,0.883788667,0.887511503,0.001021673
0.91636765,0.043676093,0.039889026,6.73E-05,0.48306483,0.49010506,0.011114918,5.62E-05,0.015658999,831.0456465,235.8512286,3.339219106,1.818364369,-0.04181812,0.900572169,9.633159967,4.5064538,0.310777662,0.585241971,0.372836869,0.491656898,0.355979826,0.09764639,0.06329172,-0.000989006,0.046231514,1.136910377,0.469189296,0.008784153,0.017970441,0.013306468,0.019276807,0.012553178,0.945797144,0.875410947,0.00697155
0.9103174,0.013762467,0.07589475,2.53E-05,0.5639293,0.4269005,0.001955205,5.82E-05,0.00715668,846.3371093,227.4658099,3.638336383,1.886781033,-0.033186003,0.978998417,11.00508315,5.103439295,0.329969593,0.626860488,0.395421704,0.529366267,0.374954023,0.037124139,0.021255326,9.43E-05,0.01701729,0.46337322,0.188829617,0.002982411,0.005815018,0.004640114,0.006699113,0.004137217,0.930483111,0.890177307,0.002366992
0.92215896,0.04215145,0.03559127,9.84E-05,0.4791324,0.51390773,0.004788137,1.21E-05,0.002159673,843.0994982,155.0639482,3.375805686,1.851080602,-0.04444742,0.909150685,9.636902182,4.515560456,0.315015325,0.59211577,0.378251654,0.497219826,0.361248282,0.021462697,0.016805071,-0.000700009,0.010723652,0.21654412,0.091894281,0.002297801,0.004998245,0.003356533,0.004886226,0.003415082,0.853246364,0.8822831,0.001823652
0.924455,0.033270173,0.042206593,6.83E-05,0.49058133,0.5061532,0.002179959,2.75E-05,0.001057969,831.3238879,166.5159278,3.435053084,1.865173429,-0.043331043,0.923022808,9.871397631,4.617961232,0.318510016,0.599363829,0.382644963,0.504005979,0.364680135,0.010209142,0.007869694,-0.000311089,0.005068392,0.103702906,0.043924318,0.001076614,0.002332612,0.001578143,0.002296508,0.001596959,0.849166232,0.885097006,0.000854456
0.9247033,0.000403371,0.07487617,1.72E-05,0.47144136,0.46970594,0.000551732,0.05804895,0.000252013,841.0758022,181.7060481,3.533441965,1.80926396,-0.039440633,0.917333257,10.13600675,4.713455064,0.311347934,0.58541419,0.378590042,0.498453502,0.353121017,0.273762856,0.130308552,0.008303316,0.097987919,1.790250118,0.784632087,0.016906094,0.033335998,0.030379639,0.043714066,0.026129302,1.075161918,0.870158569,0.013417535
0.9157092,0.000391961,0.083882615,1.61E-05,0.4938273,0.49062738,0.015447089,4.81E-05,5.00E-05,849.1844006,213.4128349,3.742626145,1.900290958,-0.041097372,0.966667242,10.72829284,4.984897826,0.327331985,0.615338615,0.398773392,0.524916491,0.370730133,0.038294224,0.03849823,-0.002667577,0.020776303,0.28731501,0.130567079,0.005178988,0.012002734,0.007259334,0.010628442,0.008023993,0.971251157,0.887157644,0.004110308
0.9433002,0.000196181,0.056475725,2.79E-05,0.48940971,0.5017953,0.008532927,6.20E-06,0.000255785,847.7617165,205.435292,3.537492358,1.875096392,-0.042710105,0.936378697,10.14305719,4.733797969,0.321043794,0.603762468,0.387717033,0.510362315,0.366180648,0.022080563,0.021740329,-0.001462963,0.01189914,0.171667671,0.077329236,0.00292879,0.006754914,0.004117392,0.006025576,0.004522268,0.901169365,0.885217597,0.002324437
0.9429526,0.000291566,0.05673425,2.16E-05,0.48853135,0.5025048,0.008690183,6.21E-06,0.000267472,848.5322989,209.0033773,3.539791573,1.875311714,-0.042797865,0.936349331,10.14245717,4.73352004,0.321030006,0.60365259,0.387802103,0.510363139,0.366134668,0.022518257,0.022156627,-0.001489525,0.012132209,0.175243156,0.078920353,0.002984991,0.006883506,0.004196823,0.006141731,0.004608587,0.902297288,0.885170486,0.002369041
0.9029065,0.00028661,0.096789345,1.76E-05,0.48895043,0.4959318,0.014899337,6.46E-06,0.000212001,847.5609157,172.955124,3.857742266,1.920483457,-0.041578432,0.981903554,10.98490003,5.096609504,0.331010002,0.621327316,0.405509665,0.532673382,0.373655448,0.037483336,0.037417341,-0.002569035,0.020300553,0.285656633,0.129335312,0.005036845,0.011652294,0.007065896,0.010343604,0.007792722,0.988407026,0.889313197,0.003997496
0.90426004,0.000307487,0.09541589,1.66E-05,0.4854095,0.4962011,0.018237438,7.74E-06,0.000144369,848.5356429,178.9425068,3.837605752,1.912996856,-0.041691467,0.976846799,10.91406758,5.064889563,0.329516236,0.618379459,0.403684158,0.530066472,0.372053945,0.04536469,0.045538172,-0.003151468,0.02461823,0.342801378,0.155546771,0.006128045,0.01419413,0.008589396,0.01257532,0.00948867,0.99731959,0.887712513,0.004863528
0.92051643,0.002298115,0.07716851,1.69E-05,0.48867452,0.5069547,0.003999762,7.47E-06,0.000363479,844.4630033,214.6764621,3.729101076,1.913147799,-0.042996447,0.965368067,10.6187747,4.941759229,0.328321186,0.616457853,0.399735948,0.525080865,0.372499097,0.011462728,0.01075491,-0.000670638,0.006072429,0.095099394,0.042154486,0.001452921,0.003314243,0.002058214,0.003008912,0.002227364,0.917235682,0.890332618,0.001153112
0.89991915,0.000770888,0.099293925,1.60E-05,0.46953908,0.48531076,0.01880298,8.98E-05,0.026257377,840.3690758,157.5984073,3.79017517,1.870608289,-0.04079724,0.957655526,10.74291973,4.981769358,0.322309397,0.604387793,0.395984362,0.519398459,0.363298119,0.164120219,0.106528846,-0.001687657,0.077735133,1.909291359,0.788066463,0.0147833,0.030258575,0.022387455,0.03243347,0.0211329,1.106476168,0.877687764,0.011732778
0.9078567,0.021035824,0.071080066,2.74E-05,0.4802687,0.4497761,0.016961522,0.000156217,0.05283747,834.5553399,263.8129359,3.455024723,1.780846348,-0.037230634,0.906478227,10.03749057,4.666203625,0.307473423,0.579578522,0.372312432,0.49213305,0.34909348,0.278997649,0.162582798,0.000218821,0.128550665,3.459014543,1.411528191,0.022782738,0.044731426,0.035295449,0.050982347,0.031728946,1.125715147,0.864036484,0.018081538
0.8939703,0.027227292,0.078787826,1.46E-05,0.46947715,0.491702,0.017247215,8.97E-05,0.021483917,841.4951628,204.4091939,3.638376465,1.853522812,-0.041736416,0.936753019,10.33181344,4.805787605,0.318112043,0.5969278,0.388105729,0.509364157,0.360496863,0.138922938,0.091813645,-0.001701345,0.066113662,1.596792553,0.660537128,0.012721259,0.026207218,0.019195082,0.027822004,0.018260536,1.057770607,0.876777785,0.010096237
0.8926846,0.032445785,0.07485538,1.43E-05,0.4966452,0.49024358,0.005497849,3.44E-05,0.007579025,836.7012895,193.709293,3.672170404,1.891512523,-0.041121368,0.957911422,10.561922,4.913477009,0.325511532,0.612387856,0.395101293,0.52061643,0.369544905,0.047584321,0.030942173,-0.000498133,0.022545776,0.5526518,0.228170097,0.004293017,0.00879321,0.006499243,0.009416144,0.006140031,0.957227103,0.886761171,0.003407156
0.89111716,0.032363575,0.0765062,1.30E-05,0.41391897,0.40885222,0.09255153,0.000358536,0.08431873,844.6812222,270.5364397,3.181247661,1.597060315,-0.034116183,0.816203912,9.113551966,4.229985028,0.275497845,0.517786555,0.336450184,0.442803474,0.311431385,0.606174715,0.421963798,-0.010985603,0.292637059,6.722452427,2.799692743,0.058216346,0.122085692,0.086940635,0.12618698,0.084515358,1.359235677,0.823659137,0.046203449
0.881016,0.019765936,0.099207304,1.07E-05,0.4213799,0.42758304,0.07899663,0.005812664,0.066227816,830.7683664,206.5791236,3.459255235,1.677917804,-0.035646536,0.86608701,9.813892571,4.542861459,0.289937658,0.543686065,0.357435072,0.468970288,0.325829117,0.517406876,0.359278458,-0.008922166,0.247472245,5.563725917,2.325275021,0.049412168,0.103886937,0.074086009,0.107531121,0.072090593,1.367016555,0.836994994,0.039216006
0.89119184,0.04171305,0.06708041,1.48E-05,0.37831908,0.3549763,0.17859308,0.038456157,0.049655437,844.9346458,248.8933229,2.818020068,1.419886301,-0.02925424,0.728416625,8.153719334,3.78302177,0.245638697,0.462587831,0.299074659,0.394856671,0.277842883,0.839727844,0.640564189,-0.022454543,0.401528576,7.394226027,3.192754915,0.086610383,0.189441817,0.128867761,0.18753489,0.130839344,1.498839474,0.790612746,0.068738399
0.8906266,0.046622526,0.06273552,1.54E-05,0.36021283,0.37022376,0.08689902,0.061524518,0.12113984,833.6527291,286.8076572,2.786361157,1.411939847,-0.031253734,0.716315467,7.934525042,3.68790637,0.242738451,0.455717294,0.296283098,0.389195809,0.274833761,1.043133663,0.626986636,0.001013926,0.460685903,10.66960831,4.451841567,0.085771917,0.17420235,0.134929461,0.195161503,0.124667627,1.549093845,0.789581456,0.06807295
0.89351237,0.051747207,0.05472367,1.68E-05,0.36701396,0.41119942,0.033752814,0.056989074,0.13104469,831.0805068,245.9504544,2.879895249,1.490472424,-0.035532008,0.743834877,8.089404741,3.772133726,0.254317797,0.476298461,0.310024047,0.405518779,0.288969247,0.936103545,0.507793861,0.010158801,0.402074922,10.14775054,4.18620033,0.069958922,0.136453009,0.112902091,0.162836187,0.099490142,1.436440455,0.805125907,0.055522954
0.89516175,0.050164863,0.05465579,1.76E-05,0.3839179,0.47335526,0.003896411,0.021381726,0.117448695,849.1304777,177.5092228,3.141834722,1.638047157,-0.041739998,0.807271689,8.667885913,4.050932266,0.277590892,0.518154734,0.339215305,0.441276239,0.315817391,0.635640293,0.324136898,0.009384141,0.275728814,7.709335112,3.13632845,0.04540331,0.085157366,0.073547376,0.105859827,0.062386812,1.236001936,0.832877424,0.036034373
0.8912772,0.04524052,0.06346632,1.60E-05,0.36625525,0.42309722,0.020310758,0.060527347,0.12980936,838.6231974,171.3410474,2.993696027,1.524366583,-0.036681812,0.762927106,8.344119956,3.886705779,0.260015319,0.48614294,0.318591173,0.41570624,0.294649872,0.914171758,0.479498321,0.012926464,0.387578642,9.935684235,4.09171225,0.066093119,0.127317504,0.107818986,0.155362637,0.093578405,1.420905546,0.81051106,0.052454856
0.8922463,0.033485517,0.07425401,1.42E-05,0.42540252,0.4556532,0.001282227,0.00976891,0.107893184,837.5600122,256.3185657,3.356495075,1.7029212,-0.038842713,0.859974115,9.486024555,4.412157468,0.291967253,0.547335666,0.356894219,0.46770115,0.330645266,0.532156293,0.270239612,0.007592848,0.233777521,6.739818832,2.730373774,0.038113293,0.070880777,0.061390454,0.088338345,0.05174708,1.208983025,0.845385819,0.030248645
0.8943487,0.025243776,0.080392726,1.48E-05,0.4429419,0.44520056,0.056995966,0.000197896,0.05466371,825.0191088,253.2811238,3.418656468,1.721621308,-0.037334025,0.877348002,9.766875583,4.5355869,0.296571986,0.557108725,0.362182887,0.476254099,0.335432781,0.385458371,0.266035564,-0.006606063,0.185651868,4.302075135,1.789534036,0.036729985,0.076804573,0.054943281,0.079727704,0.053223257,1.247636965,0.848798608,0.029150782
0.89922243,0.023217378,0.07754052,1.96E-05,0.45761344,0.4026491,0.000491485,0.028798547,0.11044745,834.343772,208.3253043,3.284583069,1.66127303,-0.032626127,0.856545481,9.621463358,4.46155399,0.288453496,0.544547692,0.349937181,0.463817098,0.32646952,0.630593923,0.316172827,0.010629966,0.269547791,7.455961735,3.038815132,0.044130754,0.082532373,0.072173125,0.103842039,0.060881851,1.271740411,0.839579899,0.035024408
0.893205,0.045334343,0.061443303,1.74E-05,0.43874064,0.4147103,0.053925287,0.000210472,0.09241329,844.1039707,175.6166458,3.139996288,1.629191039,-0.034458533,0.826594854,9.116272508,4.2410026,0.280953862,0.529542747,0.33980505,0.449056374,0.319329894,0.547112097,0.344335367,-0.003831307,0.257077749,6.492199352,2.670102642,0.047915728,0.096960928,0.073020744,0.105699276,0.068000466,1.277400714,0.833095666,0.038028356
0.8895337,0.025828505,0.08462479,1.30E-05,0.4666742,0.49560142,0.019067112,0.000151628,0.018505678,834.0254138,186.3396944,3.694084542,1.864499754,-0.042122825,0.944169208,10.44980744,4.857512641,0.32000526,0.599972514,0.391504727,0.513204668,0.362080658,0.130328472,0.089684702,-0.002184631,0.062686886,1.454806824,0.605050584,0.012382673,0.025872523,0.018537594,0.026897791,0.01793769,1.063363445,0.878063225,0.009827519
0.8942319,0.038593642,0.06715815,1.63E-05,0.4653186,0.49469942,0.017956913,0.000112752,0.021912308,827.0752076,193.2344031,3.539139266,1.835599076,-0.042281051,0.920307176,10.04553153,4.681434602,0.314192791,0.589627213,0.381960213,0.501228436,0.357115863,0.142688505,0.094597807,-0.001795605,0.067955087,1.63597708,0.677039694,0.01310294,0.027024653,0.019759507,0.028642519,0.018823059,1.042638531,0.874338094,0.010399158
0.8742317,0.013142157,0.11261508,1.12E-05,0.43712282,0.44652715,0.007733787,0.001408422,0.10720792,837.1482103,206.6330957,3.681203747,1.760093797,-0.037163817,0.912798188,10.4110952,4.813655996,0.304453795,0.570454839,0.376753228,0.493814609,0.341278798,0.505821285,0.266179491,0.0052264,0.227074926,6.562967553,2.656217264,0.037645571,0.070743007,0.059727544,0.086022902,0.051076956,1.254048866,0.852494635,0.029877437
0.8715144,0.005256716,0.12321514,1.37E-05,0.43212512,0.44015977,0.01962968,0.000612576,0.107472815,828.6660582,229.228428,3.735582443,1.754486377,-0.036451639,0.916277608,10.54481934,4.867779977,0.304091089,0.569435653,0.377917457,0.495024458,0.339787525,0.5324337,0.294500394,0.003065224,0.242139497,6.772373551,2.751095911,0.041468375,0.079651429,0.065004636,0.093757089,0.05698513,1.303327976,0.849793538,0.032911409
0.8585698,0.002912197,0.13850527,1.28E-05,0.40777984,0.40425444,0.08120358,0.000232454,0.106529705,842.6627041,277.5690266,3.67488584,1.666060453,-0.032942352,0.884115038,10.37023643,4.771416406,0.290296224,0.543341767,0.363576745,0.476170822,0.322286764,0.677288186,0.444095108,-0.007718466,0.321718274,7.83228613,3.236508811,0.061579102,0.126491341,0.093055453,0.134848985,0.08822111,1.45026104,0.829481165,0.048872303
0.9205515,0.001143312,0.07828874,1.64E-05,0.39041775,0.38849837,0.11509533,0.000215825,0.105772644,819.5889612,156.9628845,3.062643185,1.5205785,-0.032399655,0.779668898,8.747724453,4.056617991,0.262463943,0.492951597,0.321484872,0.422715146,0.296141737,0.756853628,0.52632019,-0.013640374,0.365365437,8.407386703,3.500548879,0.072626802,0.152239864,0.108471863,0.157433238,0.105396416,1.422396558,0.807836505,0.057640319
0.9334044,0.000552827,0.06602377,1.90E-05,0.4100831,0.40399262,0.09762369,0.00018565,0.08811494,835.9306605,211.1590973,3.065131189,1.566308036,-0.033814778,0.795626252,8.808562893,4.094755599,0.269782572,0.507431593,0.328046741,0.432156398,0.305874966,0.634800576,0.442786826,-0.011664417,0.306704216,7.035942013,2.930764642,0.061084947,0.12817567,0.091179693,0.132346293,0.088704352,1.3541211,0.818811563,0.048480117
0.9163024,0.000405121,0.08327616,1.62E-05,0.49653512,0.50230056,0.000786911,5.12E-05,0.000326131,848.5291285,153.1163384,3.785540014,1.926364005,-0.042279809,0.977371987,10.8183425,5.029049595,0.331375064,0.622580875,0.403795393,0.53101606,0.375451604,0.003628487,0.002805254,-0.000109638,0.001786886,0.035372439,0.015068012,0.000382443,0.000832056,0.000562203,0.000818239,0.000570613,0.909405802,0.892802106,0.000303526
0.9230895,0.003001455,0.07389108,1.80E-05,0.48331434,0.51259685,0.003223564,9.17E-06,0.000856147,841.239276,207.2796224,3.706788516,1.910118611,-0.04373276,0.960143779,10.51713246,4.898074438,0.327201989,0.613953763,0.398337456,0.522654016,0.371505109,0.011776144,0.009956074,-0.000506608,0.006025669,0.110248954,0.04753288,0.001353972,0.003008901,0.001951412,0.002845991,0.002040572,0.911305295,0.889775047,0.001074581
0.91302896,0.012483737,0.074461706,2.56E-05,0.4729995,0.5091075,0.009349856,6.45E-05,0.008478601,848.1182291,255.0537445,3.672030039,1.886664839,-0.043553713,0.947932837,10.38507117,4.836333853,0.322972666,0.605624946,0.393707501,0.516063414,0.366528564,0.061192902,0.042600801,-0.001108059,0.029531245,0.677631985,0.282262433,0.005876535,0.012325877,0.008777223,0.012739471,0.008533433,0.976248901,0.884233711,0.004663916
0.91754276,0.009260678,0.07317329,2.33E-05,0.48237175,0.5137272,0.003099865,9.07E-06,0.000792067,839.2484881,197.6199537,3.702181882,1.909656521,-0.04387856,0.959157039,10.49705117,4.889488863,0.327004618,0.613511307,0.398074932,0.522201927,0.371343257,0.011185529,0.009503538,-0.000488985,0.005732408,0.104168079,0.044962789,0.001291991,0.002874949,0.001860526,0.002713755,0.001948848,0.909101415,0.889708121,0.00102539
0.9104965,0.025506813,0.06396389,3.28E-05,0.4952161,0.4961663,0.0044083,2.12E-05,0.004188088,826.2016951,258.3678264,3.596805285,1.884916483,-0.041911899,0.947328482,10.34241534,4.820008376,0.323547306,0.608743776,0.3913847,0.515654878,0.368352284,0.029661893,0.020498631,-0.000512457,0.014289189,0.330548742,0.137532183,0.00282965,0.005919923,0.004231989,0.006141218,0.004101844,0.91902863,0.886688904,0.002245754
0.9000859,0.007503595,0.092390515,1.99E-05,0.49787688,0.49641958,0.00549481,6.53E-06,0.000202307,829.0483805,214.7683458,3.845884935,1.930394443,-0.041518305,0.985699615,10.99835131,5.105391003,0.332808736,0.625283762,0.406618466,0.534856114,0.376207735,0.014399129,0.014090898,-0.000939482,0.007741908,0.112859804,0.050732493,0.001898887,0.004373714,0.002672143,0.003910021,0.002929546,0.945538223,0.892532571,0.001507053
0.9269886,0.000560021,0.072433054,1.83E-05,0.49104428,0.50230485,0.000634545,0.005208266,0.000808031,821.4898968,246.0029704,3.678959285,1.901564848,-0.042525087,0.958332565,10.51516369,4.895863753,0.326393283,0.613321054,0.396454592,0.521372867,0.370764319,0.029514578,0.014928131,0.000690202,0.011142565,0.218068339,0.094124171,0.001965815,0.003912038,0.003404541,0.00490572,0.002986993,0.923253741,0.888890519,0.00156017
0.92322016,0.000272894,0.07648935,1.76E-05,0.4979017,0.49455875,0.007354869,6.53E-06,0.000178232,839.277632,201.2710507,3.704501377,1.904237401,-0.041529441,0.964450022,10.63900305,4.948872284,0.327634847,0.616194961,0.397977709,0.524164574,0.371830759,0.018848434,0.018645384,-0.001263321,0.010173842,0.145490202,0.065655233,0.002511124,0.005797796,0.003527733,0.005163168,0.003880145,0.929989358,0.889201961,0.001992955
0.9420432,0.00026315,0.057672065,2.17E-05,0.48811403,0.5066875,0.004886844,6.94E-06,0.000304601,846.9569866,241.2580736,3.561278874,1.883930128,-0.043232723,0.94024139,10.18342204,4.752682552,0.322358694,0.60591285,0.3896935,0.51253586,0.367566587,0.013369836,0.012817993,-0.00082797,0.007136569,0.107825142,0.048126722,0.001729426,0.003964824,0.002441492,0.003570926,0.002659942,0.887877975,0.886795964,0.001372561
0.9390805,0.000301664,0.060597878,1.99E-05,0.4842069,0.512334,0.002917037,8.95E-06,0.000533214,833.5980979,243.6362793,3.595462724,1.892217014,-0.043861323,0.944224652,10.23504834,4.775919314,0.323533906,0.607577583,0.391905561,0.514737269,0.368606014,0.009577345,0.008461311,-0.000472678,0.00497072,0.085415241,0.037225051,0.001147316,0.002579041,0.0016414,0.002396314,0.001742161,0.885056855,0.887864208,0.000910568
0.9363473,0.000749333,0.06288476,1.86E-05,0.5043909,0.49391,0.001592473,3.15E-05,7.52E-05,837.9770002,194.7107019,3.604063732,1.894707004,-0.041515844,0.953447938,10.41471735,4.853378108,0.325612331,0.61321789,0.393203809,0.518838772,0.370885799,0.004385337,0.004186747,-0.000267022,0.002326063,0.034590988,0.015493981,0.000564147,0.001294116,0.000798245,0.00116745,0.000869298,0.879081586,0.889440838,0.000447736
